year,drought_deaths,n_affected_drought,drought_costs,eq_deaths,n_affected_eq,eq_costs,volc_deaths,n_affected_volc,volc_costs,flood_deaths,n_affected_flood,flood_costs,mass_movement_deaths,n_affected_mass_movement,mass_movement_costs,storm_deaths,n_affected_storm,storm_costs,landslide_deaths,n_affected_landslide,landslide_costs,fog_deaths,n_affected_fog,fog_costs,wildfire_deaths,n_affected_wildfire,wildfire_costs,ext_temp_deaths,n_affected_ext_temp,ext_temp_costs,glacial_outburst_deaths,n_affected_glacial_outburst,glacial_outburst_costs
1982,1120.0,488000000.0,0.0,4211.0,786850.0,2262800000.0,520.0,1420000.0,1108000000.0,17223.0,147008148.0,13824640000.0,184.0,800.0,0.0,11140.0,31063088.0,18353132000.0,2640.0,192000.0,3500000000.0,0,0,0,10.0,0.0,0.0,1600.0,800.0,0.0,0,0,0
1983,1800080.0,170736436.0,4263800000.0,9166.0,3705980.0,4130008000.0,0,195740.0,700760000.0,8410.0,81752664.0,34337364000.0,1828.0,0,0,14647.0,11211796.0,21740420000.0,4686.0,2900000.0,3955200000.0,0,0,0,455.0,4000.0,2326600000.0,820.0,10800.0,0,0,0,0
1984,920.0,9408000.0,4000000000.0,247.0,3048900.0,338000000.0,148.0,404000.0,0.0,11720.0,204513316.0,10998000000.0,0,0,0,19098.0,28383980.0,21980368000.0,942.0,64000.0,172000000.0,0,0,0,85.0,1000.0,8000000.0,1160.0,0.0,0.0,0,0,0
1985,0,2000000.0,2604000000.0,39379.0,12212528.0,22432000000.0,87200.0,35112.0,4000000000.0,17818.0,68030860.0,15014600000.0,1200.0,0,0,68660.0,21016392.0,23323792000.0,1498.0,0,0,0,0,0,227.0,10700.0,607676000.0,1884.0,22980.0,576000000.0,0,0,0
1986,336.0,3404000.0,2500000000.0,4741.0,3100650.0,12050880000.0,6984.0,92000.0,0,7130.0,44525100.0,15227800000.0,0,0,0,7767.0,57174588.0,20162232000.0,2004.0,1224.0,0,0,0,0,100.0,18000.0,0,200.0,120000.0,7000000000.0,0,0,0
1987,5268.0,1268049468.0,0.0,20604.0,1040116.0,7746500000.0,0.0,64000.0,0.0,26942.0,199068000.0,23044780000.0,680.0,4104.0,4000000.0,11670.0,18877484.0,29498980000.0,4751.0,115476.0,3127400000.0,0,0,0,764.0,832888.0,840000000.0,5880.0,0.0,0.0,0,0,0
1988,6400.0,216798000.0,7205148000.0,83156.0,88764760.0,43602000000.0,28.0,51880.0,0,33954.0,421690164.0,31243176000.0,628.0,4000.0,0,13329.0,75264180.0,9705504000.0,3808.0,233220.0,0,0,0,0,0,0,0,2594.0,0.0,2400000.0,0,0,0
1989,948.0,68240000.0,8000000000.0,2326.0,579160.0,27458400000.0,0,12000.0,0,18670.0,413006868.0,15220400000.0,220.0,24000.0,0,17064.0,199041592.0,41263196000.0,1682.0,375240.0,1270364000.0,0,0,0,4.0,100000.0,17132800000.0,1524.0,0,0,0,0,0
1990,0.0,119143368.0,35506956000.0,171407.0,9192696.0,37289800000.0,132.0,57060.0,32000000.0,8985.0,185160964.0,16817792000.0,292.0,20000.0,0,18574.0,63643372.0,114922940000.0,535.0,0,0,0,0,0,0,0,8365000000.0,3921.0,4000000.0,357000000.0,0,0,0
1991,8000.0,76408000.0,8036000000.0,9542.0,2792625.0,5986000000.0,2732.0,4745196.0,948000000.0,23514.0,888897112.0,48124552000.0,294.0,0,0,585147.0,88468980.0,70159892000.0,2912.0,260468.0,25600000.0,0,0,0,360.0,0,10372800000.0,3365.0,1800.0,3860000000.0,0,0,0
1992,0.0,112400000.0,13555800000.0,16133.0,1974848.0,10806600000.0,4.0,1386312.0,0.0,21264.0,61401656.0,32205652000.0,1292.0,4000.0,0.0,5424.0,72330660.0,150793000000.0,2848.0,155000.0,1728400000.0,0,0,0,523.0,6600.0,1684800000.0,1552.0,0.0,12112000000.0,0,0,0
1993,0,14126028.0,8000000.0,40353.0,584832.0,7082000000.0,396.0,466928.0,1952000.0,24613.0,595617172.0,132789772000.0,724.0,10200.0,0,11779.0,58290304.0,59119744000.0,6312.0,372572.0,3873960000.0,0,0,0,12.0,0,4000000000.0,424.0,12000800.0,0,0,0,0
