Country,Total Deaths,Total Affected,Total Damage Adjusted,Number of Disasters
Mauritania,288.0,13345519.0,388161.0,47.0
Mauritius,83.0,1064645.0,2640391.0,23.0
Mexico,18665.0,20762159.0,87427550.0,284.0
Micronesia (Federated States of),77.0,186065.0,29849.0,11.0
Mongolia,382.0,5314977.0,3910853.0,43.0
Montenegro,51.0,12586.0,0,7.0
Montserrat,43.0,25240.0,619577.0,7.0
Morocco,14505.0,3700192.0,4521875.0,59.0
Mozambique,107335.0,43599376.0,6163536.0,123.0
Myanmar,142184.0,10755819.0,6917795.0,80.0
Namibia,555.0,3817917.0,291660.0,33.0
Nepal,25174.0,17781901.0,9429887.0,136.0
Netherlands (Kingdom of the),3292.0,265325.0,10496706.0,42.0
Netherlands Antilles,13.0,40000.0,2038556.0,3.0
New Caledonia,9.0,3537.0,88213.0,12.0
New Zealand,301.0,681115.0,40924493.0,76.0
Nicaragua,14804.0,5924690.0,11311569.0,84.0
Niger,11151.0,39239440.0,372891.0,97.0
Nigeria,33366.0,38096963.0,5731818.0,141.0
Niue,2.0,5199.0,62382.0,5.0
North Macedonia,69.0,1361548.0,679740.0,24.0
Northern Mariana Islands,5.0,860.0,0,5.0
Norway,46.0,7860.0,1215225.0,14.0
Oman,316.0,33269.0,7289014.0,17.0
Pakistan,113069.0,132213829.0,46644379.0,235.0
Palau,0,22862.0,0,5.0
Panama,495.0,411164.0,686329.0,63.0
Papua New Guinea,3924.0,4825270.0,623390.0,87.0
Paraguay,380.0,4363790.0,363465.0,60.0
People's Democratic Republic of Yemen,507.0,705000.0,3138420.0,7.0
Peru,89849.0,24103340.0,15780091.0,202.0
Philippines,65535.0,261320597.0,49029580.0,656.0
Poland,3070.0,383173.0,13939451.0,63.0
Portugal,6273.0,214966.0,11732924.0,53.0
Puerto Rico,858.0,935799.0,91228138.0,36.0
Qatar,0,1500.0,11655.0,1
Republic of Korea,6956.0,6993625.0,32310067.0,125.0
Republic of Moldova,89.0,2908212.0,1330233.0,16.0
Romania,5410.0,2057777.0,19215272.0,93.0
Russian Federation,61674.0,4858841.0,16516482.0,177.0
Rwanda,1360.0,6324472.0,83926.0,56.0
Réunion,74.0,204529.0,547553.0,15.0
Saint Barthélemy,4.0,0,0,1
Saint Helena,0,300.0,0,1
Saint Kitts and Nevis,6.0,14780.0,1302974.0,9.0
Saint Lucia,48.0,318927.0,476510.0,22.0
Saint Martin (French Part),12.0,110.0,4895098.0,1
Saint Vincent and the Grenadines,32.0,109830.0,677702.0,23.0
Samoa,534.0,403908.0,1616415.0,16.0
Sao Tome and Principe,214.0,316267.0,0,6.0
Saudi Arabia,647.0,34760.0,2905768.0,29.0
Senegal,1559.0,10748568.0,2158660.0,53.0
Serbia,673.0,240164.0,2863180.0,32.0
Serbia Montenegro,21.0,135199.0,0,16.0
Seychelles,8.0,26016.0,61264.0,7.0
Sierra Leone,6761.0,343648.0,55395.0,34.0
Singapore,36.0,15289.0,0,4.0
Sint Maarten (Dutch part),4.0,5040.0,2984816.0,1
Slovakia,569.0,59658.0,1270103.0,25.0
Slovenia,456.0,71408.0,1041334.0,13.0
Solomon Islands,555.0,596453.0,90564.0,36.0
Somalia,50066.0,36634559.0,1323187.0,105.0
South Africa,2868.0,34487340.0,15435455.0,121.0
South Sudan,510.0,20591521.0,0,27.0
Soviet Union,26611.0,2443377.0,52215380.0,50.0
Spain,28523.0,6858561.0,70803180.0,103.0
Sri Lanka,39885.0,32168498.0,6989460.0,126.0
State of Palestine,17.0,130064.0,0,10.0
Sudan,162609.0,48342182.0,1205324.0,106.0
Suriname,5.0,55248.0,21399.0,5.0
Sweden,83.0,13900.0,5583688.0,17.0
Switzerland,1622.0,24963.0,13544058.0,64.0
Syrian Arab Republic,4750.0,12375182.0,275338.0,22.0
Taiwan (Province of China),5496.0,3957654.0,39664252.0,109.0
Tajikistan,2273.0,6817635.0,2871138.0,75.0
Thailand,14607.0,112001516.0,74270189.0,170.0
Timor-Leste,93.0,289925.0,27554.0,14.0
Togo,1199.0,1245441.0,5417.0,30.0
Tokelau,0,1858.0,6664.0,4.0
Tonga,28.0,398688.0,476012.0,24.0
Trinidad and Tobago,34.0,303187.0,367941.0,13.0
Tunisia,985.0,663667.0,1717784.0,26.0
Turkmenistan,11.0,420.0,202324.0,2.0
Turks and Caicos Islands,4.0,2470.0,1276613.0,7.0
Tuvalu,6.0,21867.0,0,9.0
Türkiye,85083.0,18809057.0,49497287.0,165.0
Uganda,5692.0,7549963.0,165469.0,109.0
Ukraine,1505.0,2913931.0,5214886.0,40.0
United Arab Emirates,0,188.0,0,1
United Kingdom of Great Britain and Northern Ireland,7907.0,768085.0,62515157.0,102.0
United Republic of Tanzania,10493.0,18533977.0,594896.0,118.0
United States Virgin Islands,17.0,20000.0,2344843.0,8.0
United States of America,22756.0,115662457.0,2111180543.0,1040.0
Uruguay,44.0,766783.0,1480929.0,36.0
Uzbekistan,104.0,722279.0,84975.0,10.0
Vanuatu,154.0,1190241.0,1107808.0,50.0
Venezuela (Bolivarian Republic of),31380.0,2711266.0,7460493.0,68.0
Viet Nam,26236.0,98494224.0,31950503.0,258.0
Wallis and Futuna Islands,6.0,5772.0,0,5.0
Yemen,2410.0,2014672.0,3073961.0,59.0
Yemen Arab Republic,1657.0,2624362.0,6214227.0,8.0
Yugoslavia,1394.0,991330.0,20644473.0,21.0
Zambia,1425.0,13337258.0,38060.0,55.0
Zimbabwe,8356.0,27559728.0,1438694.0,56.0
