DisNo.,Historic,Classification Key,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,External IDs,Event Name,ISO,Country,Subregion,Region,Location,Origin,Associated Types,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Magnitude,Magnitude Scale,Latitude,Longitude,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No. Injured,No. Affected,No. Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damage ('000 US$),"Insured Damage, Adjusted ('000 US$)",Total Damage ('000 US$),"Total Damage, Adjusted ('000 US$)",CPI,Admin Units,Entry Date,Last Update
2012-0275-IRN,No,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,GLIDE:EQ-2012-000136|USGS:usp000jq5p,,IRN,Iran (Islamic Republic of),Southern Asia,Asia,"Varzeghan village (Ahar district, East Azarbayejan province), Heris, Tabriz districts (East Azarbayejan province)",,,No,No,No,28540,6.4,Richter,38.329,46.826,,2012,8,11,2012,8,11,306,2006,59540,,61546,,,,,500000,637331,78.45211388,"[{""adm2_code"":40867,""adm2_name"":""Ahar""},{""adm2_code"":40973,""adm2_name"":""Heris""},{""adm2_code"":41121,""adm2_name"":""Tabriz""}]",2013-03-08,2023-09-25
2012-0313-HTI,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Hurricane Isaac,HTI,Haiti,Latin America and the Caribbean,Americas,"Grande-Anse, Sud, Sud Est, Artibonite, Ouest provinces",,,No,No,No,,,Kph,19.1356,-72.28,,2012,8,25,2012,8,29,13,7,8000,,8007,,,,,,,78.45211388,"[{""adm1_code"":1409,""adm1_name"":""Artibonite""},{""adm1_code"":1415,""adm1_name"":""Ouest""},{""adm1_code"":1416,""adm1_name"":""Sud""},{""adm1_code"":1417,""adm1_name"":""Sud Est""},{""adm1_code"":72911,""adm1_name"":""Grande Anse""}]",2012-11-19,2023-09-25
2012-0313-USA,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Hurricane Isaac,USA,United States of America,Northern America,Americas,"Mississippi, Louisiana provinces",,Flood,No,No,Yes,,83938,Kph,30.503,-89.35,,2012,8,28,2012,8,29,1,,60000,,60000,,,,,2000000,2549326,78.45211388,"[{""adm1_code"":3232,""adm1_name"":""Louisiana""},{""adm1_code"":3238,""adm1_name"":""Mississippi""}]",2013-02-07,2023-09-25
2012-0318-SEN,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,SEN,Senegal,Sub-Saharan Africa,Africa,"Touba city (Ndame area, Mbacke district, Diourbel province), Diaoulé village (Diakhao area, Fatick district, Fatick province), Dakar province",Heavy rains,,Yes,No,No,,79242,Km2,14.46,-15.49,,2012,8,15,2012,8,31,19,,57000,,57000,,,,,10000,12747,78.45211388,"[{""adm1_code"":2636,""adm1_name"":""Dakar""},{""adm2_code"":47596,""adm2_name"":""Mbacke""},{""adm2_code"":25325,""adm2_name"":""Fatick""}]",2012-11-22,2023-09-25
2012-0319-MMR,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,MMR,Myanmar,South-eastern Asia,Asia,"Kawkareik, Kya-in-Seikkyi, Hpa-an areas (Kawkareik district, Kayin province)",Monsoonal rains,,No,No,No,,219814,Km2,16.5919,97.85,"Salaween, Darka rivers",2012,7,15,2012,8,29,2,,85000,,85000,,,,,,,78.45211388,"[{""adm2_code"":41794,""adm2_name"":""Kawkareik""}]",2012-11-22,2023-09-25
2012-0321-PHL,No,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,USGS:usp000jrky,,PHL,Philippines,South-eastern Asia,Asia,"Valencia, Maramag areas (Bukidnon district, Region X (Northern Mindanao) province)",,,No,No,No,,5.7,Richter,7.905,125.044,,2012,9,4,2012,9,4,,1,4000,,4001,,,,,,,78.45211388,"[{""adm2_code"":24262,""adm2_name"":""Bukidnon""}]",2012-09-06,2023-09-25
2012-0334-IND,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,IND,India,Southern Asia,Asia,"Palchan village (Kullu district, Himachal Pradesh province), Uttarkashi, Rudra Prayag, Chamoli districts (Uttarakhand province), Moradabad district (Uttar Pradesh province), Kathua village (72780 district, Jammu and Kashmir province)",Torrential rain,"Slide (land, mud, snow, rock)",No,No,No,,31390,Km2,30.1135,78.85,,2012,8,4,2012,8,9,30,,1200,,1200,,,,,110000,140213,78.45211388,"[{""adm2_code"":17671,""adm2_name"":""Kullu""},{""adm2_code"":72780,""adm2_name"":""Administrative unit not available""},{""adm2_code"":17928,""adm2_name"":""Moradabad""},{""adm2_code"":70282,""adm2_name"":""Chamoli""},{""adm2_code"":70286,""adm2_name"":""Rudra Prayag""},{""adm2_code"":70289,""adm2_name"":""Uttarkashi""}]",2013-02-06,2023-09-25
2012-0338-CHN,No,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,USGS:usp000jncx,,CHN,China,Eastern Asia,Asia,Xinjiang Uygur Zizhiqu province,,,No,No,No,,6.3,Richter,43.433,84.7,,2012,6,29,2012,6,29,,52,155000,,155052,,,,,68000,86677,78.45211388,"[{""adm1_code"":927,""adm1_name"":""Xinjiang Uygur Zizhiqu""}]",2013-02-05,2023-09-25
2012-0343-CRI,No,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,GLIDE:EQ-2012-000160|USGS:usp000jrsw,,CRI,Costa Rica,Latin America and the Caribbean,Americas,"Abangares, Carillo, Hojancgan, Liberia, Nicoya, Nandayure, Santacruz districts (Guanacaste province), Alajuela, Alafaro Ruiz, Atenas, Grecia, Naranjo, Poas, San Carlos, San Ramon, Valverde Vega, Upala districts (Alajuela province), Acosta, Puriscal, San Jose districts (San Jose province), Limon districts (Limon province), Barva, Sarapiqui districts (Heredia province), Aguirre, Garabito, Puntaneras districts (Puntarenas province)",,,No,No,No,,7.6,Richter,10.085,-85.315,,2012,9,5,2012,9,5,2,225,537,,762,,,32000,40789,45000,57360,78.45211388,"[{""adm2_code"":14470,""adm2_name"":""Alajuela""},{""adm2_code"":14471,""adm2_name"":""Alfaro Ruiz""},{""adm2_code"":14472,""adm2_name"":""Atenas""},{""adm2_code"":14473,""adm2_name"":""Grecia""},{""adm2_code"":14476,""adm2_name"":""Naranjo""},{""adm2_code"":14479,""adm2_name"":""Poas""},{""adm2_code"":14480,""adm2_name"":""San Carlos""},{""adm2_code"":14482,""adm2_name"":""San Ramon""},{""adm2_code"":14483,""adm2_name"":""Upala""},{""adm2_code"":14484,""adm2_name"":""Valverde Vega""},{""adm2_code"":14493,""adm2_name"":""Abangares""},{""adm2_code"":14496,""adm2_name"":""Carrillo""},{""adm2_code"":14497,""adm2_name"":""Hojancha""},{""adm2_code"":14499,""adm2_name"":""Liberia""},{""adm2_code"":14500,""adm2_name"":""Nandayure""},{""adm2_code"":14501,""adm2_name"":""Nicoya""},{""adm2_code"":14502,""adm2_name"":""Santa Cruz""},{""adm2_code"":14515,""adm2_name"":""Limon""},{""adm2_code"":14520,""adm2_name"":""Aguirre""},{""adm2_code"":14525,""adm2_name"":""Garabito""},{""adm2_code"":14530,""adm2_name"":""Puntarenas""},{""adm2_code"":14531,""adm2_name"":""Acosta""},{""adm2_code"":14544,""adm2_name"":""Puriscal""},{""adm2_code"":14545,""adm2_name"":""San Jose""}]",2014-03-25,2023-09-25
2012-0350-CHN,No,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,USGS:usp000jrwu,,CHN,China,Eastern Asia,Asia,"Yiliang area (Zhaotong district, Yunnan Sheng province), Weining area (Bijie district, Guizhou Sheng province)",,,No,No,No,,5.5,Richter,27.575,103.983,,2012,9,7,2012,9,7,81,821,744000,,744821,,,45000,57360,1000000,1274663,78.45211388,"[{""adm2_code"":13068,""adm2_name"":""Bijie""},{""adm2_code"":13306,""adm2_name"":""Zhaotong""}]",2014-03-12,2023-09-25
2012-0351-VNM,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,VNM,Viet Nam,South-eastern Asia,Asia,"Ninh Binh, Ha Tinh, Thanh Hoa, Nghe An provinces",Torrential rain,,No,No,No,,24179,Km2,38.19,126.24,,2012,9,2,2012,9,11,34,40,,17500,17540,,,2000,2549,30000,38240,78.45211388,"[{""adm1_code"":3349,""adm1_name"":""Ha Tinh""},{""adm1_code"":3366,""adm1_name"":""Nghe An""},{""adm1_code"":3367,""adm1_name"":""Ninh Binh""},{""adm1_code"":3382,""adm1_name"":""Thanh Hoa""}]",2013-01-04,2023-09-25
2012-0354-IND,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,IND,India,Southern Asia,Asia,"Rudra Prayag, Bageshwar districts (Uttarakhand province)",Heavy rains,"Slide (land, mud, snow, rock)",No,No,No,,37710,Km2,31.3,76.85,,2012,9,16,2012,9,18,45,,200,,200,,,,,20000,25493,78.45211388,"[{""adm2_code"":70281,""adm2_name"":""Bageshwar""},{""adm2_code"":70286,""adm2_name"":""Rudra Prayag""}]",2012-11-22,2023-09-25
2012-0363-PAK,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,GLIDE:FF-2012-000148,,PAK,Pakistan,Southern Asia,Asia,"Jaffarabad, Jhal Magsi, Nasirabad districts (Balochistan province), Dera Ghazi Kan, Rajanpur districts (Punjab province), Dadu, Ghotki, Jacobabad, Larkana (Sindh province), Jammu and Kashmir provinces",Monsoon rain,,Yes,No,No,149274,23036,Km2,28.04,68.77,,2012,8,,2012,10,29,480,2902,5046462,,5049364,,,,,2500000,3186657,78.45211388,"[{""adm1_code"":40408,""adm1_name"":""Administrative unit not available""},{""adm1_code"":40409,""adm1_name"":""Administrative unit not available""},{""adm1_code"":40422,""adm1_name"":""Administrative unit not available""},{""adm1_code"":40423,""adm1_name"":""Administrative unit not available""},{""adm1_code"":40424,""adm1_name"":""Administrative unit not available""},{""adm1_code"":40425,""adm1_name"":""Administrative unit not available""},{""adm1_code"":40426,""adm1_name"":""Administrative unit not available""},{""adm1_code"":40427,""adm1_name"":""Administrative unit not available""},{""adm1_code"":40428,""adm1_name"":""Administrative unit not available""},{""adm1_code"":40429,""adm1_name"":""Administrative unit not available""},{""adm1_code"":40430,""adm1_name"":""Administrative unit not available""},{""adm1_code"":40431,""adm1_name"":""Administrative unit not available""},{""adm2_code"":40295,""adm2_name"":""Jaffarabad District""},{""adm2_code"":40296,""adm2_name"":""Jhal Magsi District""},{""adm2_code"":40308,""adm2_name"":""Nasirabad District""},{""adm2_code"":23657,""adm2_name"":""Dera Ghazi Khan District""},{""adm2_code"":23673,""adm2_name"":""Rajanpur District""},{""adm2_code"":23682,""adm2_name"":""Dadu District""},{""adm2_code"":23684,""adm2_name"":""Jacobabad District""},{""adm2_code"":23687,""adm2_name"":""Larkana District""},{""adm2_code"":40389,""adm2_name"":""Ghotki District""}]",2014-07-29,2023-09-25
2012-0375-THA,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,THA,Thailand,South-eastern Asia,Asia,"Tak, Sukhothai, Phitsanulok, Phichit, Chainat, Ang Thong, Phra Nakhon Si Ayudhya, Suphanburi, Phachinburi, Sa Kaeo, Nakhon Pathom, Chonburi, Rayong, Chachoengsao, Chaiyaphum provinces",Monsoonal rains,,No,No,Yes,,44011,Km2,17.09,99.64,,2012,8,15,2012,9,30,,,235545,,235545,,,,,,,78.45211388,"[{""adm1_code"":2852,""adm1_name"":""Ang Thong""},{""adm1_code"":2855,""adm1_name"":""Chachoengsao""},{""adm1_code"":2856,""adm1_name"":""Chainat""},{""adm1_code"":2857,""adm1_name"":""Chaiyaphum""},{""adm1_code"":2861,""adm1_name"":""Chonburi""},{""adm1_code"":2876,""adm1_name"":""Nakhon Pathom""},{""adm1_code"":2888,""adm1_name"":""Phachinburi""},{""adm1_code"":2894,""adm1_name"":""Phichit""},{""adm1_code"":2895,""adm1_name"":""Phitsanulok""},{""adm1_code"":2896,""adm1_name"":""Phra Nakhon Si Ayudhya""},{""adm1_code"":2902,""adm1_name"":""Rayong""},{""adm1_code"":2904,""adm1_name"":""Sa Kaeo""},{""adm1_code"":2914,""adm1_name"":""Sukhothai""},{""adm1_code"":2915,""adm1_name"":""Suphanburi""},{""adm1_code"":2918,""adm1_name"":""Tak""}]",2013-02-06,2023-09-25
2012-0380-UGA,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,UGA,Uganda,Sub-Saharan Africa,Africa,"Agago, Kitgum, Lamwo, Pader provinces",Heavy rains,,No,No,No,,57981,Km2,2.65,32.72,,2012,8,20,2012,9,7,,,15000,,15000,,,,,,,78.45211388,"[{""adm1_code"":763,""adm1_name"":""Kitgum""},{""adm1_code"":767,""adm1_name"":""Lamwo""},{""adm1_code"":783,""adm1_name"":""Pader""},{""adm1_code"":790,""adm1_name"":""Agago""}]",2012-11-22,2023-09-25
