country,total_num_deaths,total_num_affected,total_cost
Nigeria,2993.0,17556153.0,1093525000.0
Niue,1.0,4400.0,40041000.0
North America,364920.0,236810815.0,1600966334000.0
North Korea,3013.0,49545354.0,23767950000.0
North Macedonia,69.0,1361005.0,409163000.0
North Yemen,1657.0,2450000.0,2022700000.0
Northern Mariana Islands,5.0,550.0,0.0
Norway,16.0,7750.0,693000000.0
Oceania,7749.0,26506754.0,109518239000.0
Oman,316.0,31440.0,5252000000.0
Pakistan,112350.0,122191371.0,29937969000.0
Palau,0.0,21488.0,0.0
Palestine,17.0,128521.0,0.0
Panama,394.0,384024.0,397550000.0
Papua New Guinea,3468.0,4604405.0,353003000.0
Paraguay,283.0,3978262.0,153557000.0
Peru,78791.0,20364391.0,6446250000.0
Philippines,62665.0,248715036.0,29744840000.0
Poland,2307.0,318939.0,8427050000.0
Portugal,4169.0,220717.0,7870036000.0
Puerto Rico,858.0,723840.0,72657800000.0
Qatar,0,1500,10000000
Reunion,74.0,18650.0,254000000.0
Romania,2953.0,1707131.0,6189918000.0
Russia,61607.0,4268048.0,11613996000.0
Rwanda,904.0,6247726.0,72009000.0
Saint Barthelemy,4,0,0
Saint Helena,0,300,0
Saint Kitts and Nevis,6.0,13380.0,704900000.0
Saint Lucia,45.0,301759.0,173245000.0
Saint Martin (French part),12,0,4100000000
Saint Vincent and the Grenadines,24.0,106561.0,511600000.0
Samoa,451.0,369977.0,816128000.0
Sao Tome and Principe,8.0,312668.0,0.0
Saudi Arabia,479.0,19079.0,1702000000.0
Senegal,291.0,10646908.0,447235000.0
Serbia,96.0,222412.0,2308522000.0
Serbia and Montenegro,21.0,115934.0,0.0
Seychelles,8.0,20120.0,41000000.0
Sierra Leone,1387.0,290592.0,33600000.0
Sint Maarten (Dutch part),4,5000,2500000000
Slovakia,204.0,57787.0,785600000.0
Slovenia,301.0,66650.0,752000000.0
Solomon Islands,547.0,525578.0,50000000.0
Somalia,43181.0,35430166.0,1175020000.0
South Africa,2490.0,34265347.0,10131070000.0
South America,172193.0,200231351.0,114341866000.0
South Korea,6779.0,6136213.0,18529257000.0
South Sudan,223.0,12872591.0,0.0
South Yemen,507.0,575000.0,1040200000.0
Spain,17253.0,6834319.0,34511220000.0
Sri Lanka,38839.0,27068220.0,4475364000.0
Sudan,151683.0,34717299.0,808200000.0
Suriname,5.0,55248.0,50000.0
Sweden,43.0,13500.0,3328800000.0
Switzerland,1316.0,9804.0,8179760000.0
Syria,139.0,8178700.0,44000000.0
Taiwan,5404.0,3555605.0,22323112000.0
Tajikistan,2060.0,6717476.0,1814384000.0
Tanzania,987.0,16544750.0,467790000.0
Thailand,14373.0,110961825.0,53193908000.0
Togo,83.0,1124630.0,700000.0
Tokelau,0.0,1700.0,2900000.0
Tonga,28.0,347439.0,350900000.0
Trinidad and Tobago,34.0,202960.0,64770000.0
Tunisia,985.0,661159.0,476800000.0
Turkey,34351.0,7974067.0,29101100000.0
Turkmenistan,11.0,300.0,99870000.0
Turks and Caicos Islands,4.0,2470.0,1000005000.0
Tuvalu,6.0,21317.0,0.0
USSR,26611.0,1654708.0,20692700000.0
Uganda,3892.0,6818532.0,80171000.0
Ukraine,1230.0,2863048.0,3835475000.0
United Arab Emirates,0,188,0
United Kingdom,4367.0,737815.0,37387180000.0
United States,21847.0,114541202.0,1347299380000.0
United States Virgin Islands,17.0,2000.0,1237800000.0
Upper-middle-income countries,764200.0,3665325166.0,897850598000.0
Uruguay,44.0,276741.0,867000000.0
Uzbekistan,64.0,721659.0,50000000.0
Vanuatu,142.0,668038.0,656400000.0
Venezuela,31204.0,2481485.0,3754426000.0
Vietnam,25059.0,93586552.0,23416066000.0
Wallis and Futuna,6.0,5750.0,0.0
West Germany,501.0,3500.0,3939000000.0
World,5185649.0,8180496760.0,3998688771000.0
Yemen,1358.0,1111482.0,1831500000.0
Yugoslavia,1359.0,830900.0,3939800000.0
Zambia,90.0,13051971.0,20900000.0
Zimbabwe,1255.0,26845538.0,1037700000.0
